countries_name,countries_dive_name,countries_dive_avg_depth,latitude,longitude
Alabama,Blue Water,18.3 m,"33° 17.74' N",86° 49.034' W
Alabama,Dive land park,13.7 m,"33° 55.373' N",85° 54.353' W
Alabama,Madison Aquatic & Recreation Park,13.7 m,"34° 40.535' N",86° 43.817' W
Alabama,Poseidon's Playground,12.2 m,"30° 14.07' N",87° 31.522' W
Alabama,The Whiskey wreck,4.6 m,"30° 14.614' N",87° 41.879' W
Alaska,Birch lake,9.1 m,"64° 18.853' N",146° 39.76' W
Alaska,Whittier Cessna,9.1 m,"60° 46.639' N",148° 40.174' W
Arizona,Acacia picnic site,6.1 m,"33° 32.267' N",111° 25.961' W
Arizona,Cabinsite,13.7 m,"35° 14.401' N",114° 34.607' W
Arizona,Lake Mead - Black Canyon,4.6 m,"36° 1.118' N",114° 43.683' W
Arkansas,Beaver Lake - Dam Site Bluffs,9.1 m,"36° 25.722' N",93° 51.443' W
California,Folsom Lake,3 m,"38° 44.681' N",121° 8.543' W
California,June Lake,10 m,"37° 47.411' N",119° 3.972' W
Georgia,Reef DRH - “John Bird” Wreck,13.7 m,"31° 17.232' N",80° 58.765' W
Georgia,Reef DW - Dump Scow,45.7 m,"31° 21.525' N",79° 50.403' W
Georgia,Reef F - Landing Craft 1,10.7 m,"31° 5.926' N",81° 12.483' W
Georgia,Reef F - Landing Craft 2,10.7 m,"31° 5.939' N","81° 12.255' W"
Georgia,Reef G - Liberty Ship “Nettleton”,16.8 m,"30° 58.704' N",80° 58.562' W
Georgia,Reef J - Tug Rio Apon,16.8 m,"31° 36.18' N",80° 49.364' W
Georgia,Reef KC - Deck Barge,12.2 m,"31° 50.775' N","80° 46.015' W"
Georgia,Reef KC - Dump Scow,12.2 m,"31° 50.502' N",80° 46.507' W
Georgia,Reef KC - Honey Barge,12.2 m,"31° 50.944' N","80° 46.29' W"
New York,Seneca Lake: Watkins Glen Barges,9.1 m,"42° 23.225' N",76° 52.62' W